Swimming 200m Individual Medley;masculino;USA;prata;BUSTOS Arsenio
Swimming 200m Individual Medley;masculino;BRA;bronze;COELHO Leonardo
Swimming 400m Freestyle;masculino;BRA;ouro;COSTA Guilherme
Swimming 400m Freestyle;masculino;VEN;prata;MESTRE Alfonso
Swimming 400m Freestyle;masculino;USA;bronze;PLAGE James
Swimming 400m Individual Medley;masculino;USA;ouro;LITHERLAND Jay
Swimming 400m Individual Medley;masculino;CAN;prata;GAGNE Collyn
Swimming 400m Individual Medley;masculino;BRA;bronze;ALMEIDA Brandonn
Swimming 4 x 100m Freestyle Relay;masculino;BRA;ouro;Brazil
Swimming 4 x 100m Freestyle Relay;USA;prata;United States of America
Swimming 4 x 100m Freestyle Relay;CAN;bronze;Canada
Swimming 4 x 100m Medley Relay;masculino;USA;ouro;United States of America
Swimming 4 x 100m Medley Relay;masculino;BRA;prata;Brazil
Swimming 4 x 100m Medley Relay;masculino;CAN;bronze;Canada
Swimming 4 x 200m Freestyle Relay;masculino;BRA;ouro;Brazil
Swimming 4 x 200m Freestyle Relay;masculino;USA;prata;United States of America
Swimming 4 x 200m Freestyle Relay;masculino;CAN;bronze;Canada
Swimming 50m Freestyle;masculino;USA;ouro;CURTISS David
Swimming 50m Freestyle;masculino;USA;prata;KULOW Jonathan
Swimming 50m Freestyle;masculino;BAH;bronze;TAYLOR Lamar
Swimming 800m Freestyle;masculino;BRA;ouro;COSTA Guilherme
Swimming 800m Freestyle;masculino;VEN;prata;MESTRE Alfonso
Swimming 800m Freestyle;masculino;USA;bronze;GALLANT John William
Swimming 100m Backstroke;feminino;USA;ouro;FULLER Josephine
Swimming 100m Backstroke;feminino;USA;prata;NOBLE Helen
Swimming 100m Backstroke;feminino;CAN;bronze;HANUS Danielle
Swimming 100m Butterfly;feminino;CAN;ouro;MACNEIL Maggie
Swimming 100m Butterfly;feminino;USA;prata;PASH Kelly
Swimming 100m Butterfly;feminino;USA;bronze;BRAY Olivia
Swimming 100m Breaststroke;feminino;CAN;ouro;NICOL Rachel
Swimming 100m Breaststroke;feminino;CAN;prata;ANGUS Sophie
Swimming 100m Breaststroke;feminino;ARG;bronze;CEBALLOS Macarena
Swimming 100m Freestyle;feminino;CAN;ouro;MACNEIL Maggie
Swimming 100m Freestyle;feminino;BRA;prata;BALDUCCINI Stephanie
Swimming 100m Freestyle;feminino;USA;bronze;DE LOOF Catie
Swimming 1500m Freestyle;feminino;USA;ouro;STEGE Rachel
Swimming 1500m Freestyle;feminino;CHI;prata;KÖBRICH Kristel
Swimming 1500m Freestyle;feminino;BRA;bronze;JUNGBLUT Viviane
Swimming 200m Backstroke;feminino;USA;ouro;NOBLE Helen
Swimming 200m Backstroke;feminino;USA;prata;TILTMANN Reilly
Swimming 200m Backstroke;feminino;BRA;bronze;TAVARES ASSUNCAO Alexia
Swimming 200m Butterfly;feminino;USA;ouro;LUTHER Dakota
Swimming 200m Butterfly;feminino;MEX;prata;MATA COCCO Maria
Swimming 200m Butterfly;feminino;USA;bronze;PASH Kelly
Swimming 200m Breaststroke;feminino;CAN;ouro;PICKREM Sydney
Swimming 200m Breaststroke;feminino;CAN;prata;WOG Kelsey Lauren
Swimming 200m Breaststroke;feminino;BRA;bronze;ASSIS DA SILVA Gabrielle
Swimming 200m Freestyle;feminino;CAN;ouro;HARVEY Mary-sophie
Swimming 200m Freestyle;feminino;BRA;prata;DA SILVA COSTA Maria
Swimming 200m Freestyle;feminino;USA;bronze;SPINK Camille
Swimming 200m Individual Medley;feminino;CAN;ouro;PICKREM Sydney
Swimming 200m Individual Medley;feminino;CAN;prata;HARVEY Mary-sophie
Swimming 200m Individual Medley;feminino;USA;bronze;NOBLE Helen
Swimming 400m Freestyle;feminino;USA;ouro;MADDEN Paige
Swimming 400m Freestyle;feminino;BRA;prata;DA SILVA COSTA Maria
Swimming 400m Freestyle;feminino;BRA;bronze;RONCATTO Gabrielle
Swimming 400m Individual Medley;feminino;CAN;ouro;BROUSSEAU Julie
Swimming 400m Individual Medley;feminino;USA;prata;BELL Lucerne
Swimming 400m Individual Medley;feminino;BRA;bronze;RONCATTO Gabrielle
Swimming 4 x 100m Freestyle Relay;feminino;CAN;ouro;Canada
Swimming 4 x 100m Freestyle Relay;feminino;USA;prata;United States of America
